fullVisitorId,signup_date
2853578803190947034,2017-06-12
8549243312128500475,2017-05-30
5912214360182287218,2017-05-17
6077430498065100312,2017-06-12
5781863544350569290,2017-06-12
1630365221531549507,2017-06-13
1235454983692428222,2017-06-12
2746477348404270841,2017-06-13
5706821250872291594,2017-06-12
5195751504016372902,2017-06-12
9386598158200896800,2017-06-13
338372587772844244,2017-06-13
1853363812240873088,2017-06-12
2491614329428991790,2017-05-12
0339789817783632604,2017-06-12
764100468386670384,2017-06-12
3385464959130301131,2017-06-12
4047292389398399282,2017-06-12
4923133707721693486,2017-06-12
0902791257483881151,2017-06-13
2012248880883584289,2017-06-13
8419285715484006097,2017-06-07
4780337365510227306,2017-06-12
1977256798704391512,2017-06-13
419764127877886829,2017-06-13
8249226157357856523,2017-06-12
859414516199202039,2017-06-12
6370544154721142492,2017-06-12
8422120720541836494,2017-06-13
8664258381210877037,2017-06-12
7193049306730299310,2017-06-12
700913937533730435,2017-06-12
2959126468585791405,2017-06-12
4845920237433057563,2017-06-12
7368528245792261533,2017-06-12
526815716135781730,2017-06-12
4147019030002146690,2017-06-12
1108603988024720323,2017-06-06
3019778835108523209,2017-06-12
5224661909543849307,2017-06-13
5246493407046771715,2017-06-12
0702923646972058239,2017-06-12
4691495398327164409,2017-06-13
043743614776064145,2017-06-13
3064915588638070360,2017-06-13
6603732705577214365,2017-06-01
4597604909877716453,2017-06-12
8996584414938575418,2017-06-13
4665776499854775773,2017-06-12
0706055635620391744,2017-06-12
3237259483830041883,2017-06-12
1829715502157300977,2017-06-12
7771380615067157220,2017-06-02
3128727354290218159,2017-06-12
0595175698449027015,2017-06-12
47307888375047905,2017-06-13
6883974027300272306,2017-06-13
8371073651215318013,2017-06-12
9982550652660743737,2017-06-13
4464960888319153345,2017-06-12
8022572267109399512,2017-05-12
5756924430101964067,2017-06-12
5292146415254964950,2017-06-12
3902630759738945111,2017-06-13
6435278463490080828,2016-10-11
7637940533127194777,2016-10-10
3920546031337901369,2016-10-11
4335720085097452921,2016-10-11
3294132584395733371,2016-10-10
5766522239774214381,2016-10-11
794537428402930851,2016-10-10
1704691899810599453,2016-10-10
0292645986580655415,2016-10-10
0172648661157186698,2016-10-10
218884231228164188,2016-10-10
4517163404656063710,2016-10-10
4814614875190478983,2016-10-10
1124410347783110238,2016-10-10
0908486061968303171,2016-10-11
3181290988152917176,2016-10-10
1369021549576833252,2016-10-10
1528554514880254454,2016-10-10
3203552669969153051,2016-10-10
4326782315674947326,2016-10-10
1293667850541822046,2016-10-10
6719821044131656755,2016-10-10
9631596757608494815,2016-10-11
6817460211958427335,2016-10-10
1786848360715605116,2016-10-10
5555973898090600391,2016-10-10
128963762172764631,2016-10-10
1903217605621003275,2016-10-10
9427831124649200934,2016-09-30
4211345503073247187,2016-09-12
20473948101076274,2016-10-11
9471233281786880311,2016-09-28
4392849790729086279,2016-10-07
4981248120236126843,2016-10-11
8030331376817631450,2016-08-26
8866858825642253796,2016-09-30
4293757868838231816,2016-10-10
4073863762813208738,2016-10-10
4393079614118586343,2016-10-10
6962152320064946317,2016-10-11
442249798440152830,2016-10-10
3478217040782492143,2016-10-11
5188100082070850233,2016-10-11
9951559242817620508,2016-10-11
2847212466524559003,2016-10-10
9289796240416088025,2016-10-10
7347477286093932772,2016-10-10
